CODIGO|DESCRICAO|DT_INI|DT_FIM|ORDEM|TIPO|COD_SUP|NIVEL|NATUREZA
1.02.01.01.50|(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Créditos -Longo Prazo|01012021|31129999|222|A|1.02.01.01|5|01
1.02.01.01.52|(-) Perdas Estimadas em Créditos de Liquidação Duvidosa -  Longo Prazo|01012021|31129999|223|A|1.02.01.01|5|01
1.02.01.01.55|(-) Perdas  por Redução ao Valor Recuperável (Impairment) - Créditos e Valores - Longo Prazo|01012021|31129999|224|A|1.02.01.01|5|01
1.02.01.01.70|Subconta - Ajuste a Valor Justo - Créditos -Longo Prazo|01012021|31129999|225|A|1.02.01.01|5|01
1.02.01.01.90|Subconta - Adoção Inicial -  Créditos e Valores - Longo Prazo|01012021|31129999|226|A|1.02.01.01|5|01
1.02.01.02|VALORES MOBILIÁRIOS - NO PAÍS|01012021|31129999|227|S|1.02.01|4|01
1.02.01.02.01|Títulos para Negociação - No País - Longo Prazo|01012021|31129999|228|A|1.02.01.02|5|01
1.02.01.02.02|Títulos Disponíveis para Venda - No País - Longo Prazo|01012021|31129999|229|A|1.02.01.02|5|01
1.02.01.02.03|Títulos Mantidos até o Vencimento - No País - Longo Prazo|01012021|31129999|230|A|1.02.01.02|5|01
1.02.01.02.10|Debêntures Emitidas por Partes Relacionada  - No País - Longo Prazo|01012021|31129999|231|A|1.02.01.02|5|01
1.02.01.02.11|Debêntures Emitidas por Partes Não Relacionada  - No País - Longo Prazo|01012021|31129999|232|A|1.02.01.02|5|01
1.02.01.02.14|Outros Valores Mobiliários - No País - Longo Prazo|01012021|31129999|233|A|1.02.01.02|5|01
1.02.01.02.15|Outros Empréstimos e Recebíveis - No País - Longo Prazo|01012021|31129999|234|A|1.02.01.02|5|01
1.02.01.02.16|Outros Juros a Receber - No País - Longo Prazo|01012021|31129999|235|A|1.02.01.02|5|01
1.02.01.02.50|(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários - No País - Longo Prazo|01012021|31129999|236|A|1.02.01.02|5|01
1.02.01.02.55|(-) Perdas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliários - No País - Longo Prazo|01012021|31129999|237|A|1.02.01.02|5|01
1.02.01.02.70|Subconta - Ajuste a Valor Justo - Valores Mobiliários - No País - Longo Prazo|01012021|31129999|238|A|1.02.01.02|5|01
1.02.01.02.90|Subconta - Adoção Inicial - Valores Mobiliários -  No País - Longo Prazo|01012021|31129999|239|A|1.02.01.02|5|01
1.02.01.03|VALORES MOBILIÁRIOS - NO EXTERIOR|01012021|31129999|240|S|1.02.01|4|01
1.02.01.03.01|Títulos para Negociação - No Exterior - Longo Prazo|01012021|31129999|241|A|1.02.01.03|5|01
1.02.01.03.02|Títulos Disponíveis para Venda - No Exterior - Longo Prazo|01012021|31129999|242|A|1.02.01.03|5|01
1.02.01.03.03|Títulos Mantidos até o Vencimento - No Exterior - Longo Prazo|01012021|31129999|243|A|1.02.01.03|5|01
1.02.01.03.04|Debêntures emitidas por Partes Relacionada - No Exterior - Longo Prazo|01012021|31129999|244|A|1.02.01.03|5|01
1.02.01.03.05|Debêntures emitidas por Partes Não Relacionada - No Exterior - Longo Prazo|01012021|31129999|245|A|1.02.01.03|5|01
1.02.01.03.06|Outros Empréstimos e Recebíveis - No Exterior - Longo Prazo|01012021|31129999|246|A|1.02.01.03|5|01
1.02.01.03.50|(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) Valores Mobiliários - No Exterior - Longo Prazo|01012021|31129999|247|A|1.02.01.03|5|01
1.02.01.03.55|(-) Perdas Estimadas por Redução ao Valor Recuperável (Impairment) - Valores Mobiliário - No Exterior - Longo Prazo|01012021|31129999|248|A|1.02.01.03|5|01
1.02.01.03.70|Subconta - Ajuste a Valor Justo - Valores Mobiliários - No Exterior - Longo Prazo|01012021|31129999|249|A|1.02.01.03|5|01
1.02.01.03.90|Subconta - Adoção Inicial - Valores Mobiliários -  No Exterior - Longo Prazo|01012021|31129999|250|A|1.02.01.03|5|01
1.02.01.05|ATIVOS FISCAIS DIFERIDOS - LONGO PRAZO|01012021|31129999|251|S|1.02.01|4|01
1.02.01.05.01|Créditos Fiscais CSLL - Diferenças Temporárias e Base de Cálculo Negativa - Longo Prazo|01012021|31129999|252|A|1.02.01.05|5|01
1.02.01.05.02|Créditos Fiscais IRPJ - Diferenças Temporárias e Prejuízos Fiscais - Longo Prazo|01012021|31129999|253|A|1.02.01.05|5|01
1.02.01.07|CRÉDITOS EM CONTENCIOSO - LONGO PRAZO|01012021|31129999|254|S|1.02.01|4|01
1.02.01.07.01|Depósitos em Contencioso - Longo Prazo|01012021|31129999|255|A|1.02.01.07|5|01
1.02.01.07.10|Outros Créditos em Contencioso - Longo Prazo|01012021|31129999|256|A|1.02.01.07|5|01
1.02.01.07.55|( - ) Perdas  por Redução ao Valor Recuperável (Impairment) -  Créditos em Contencioso - Longo Prazo|01012021|31129999|257|A|1.02.01.07|5|01
1.02.01.08|TRIBUTOS A RECUPERAR - Longo Prazo|01012021|31129999|258|S|1.02.01|4|01
1.02.01.08.01|IPI a Recuperar - Longo Prazo|01012021|31129999|259|A|1.02.01.08|5|01
1.02.01.08.02|ICMS a Recuperar - Longo Prazo|01012021|31129999|260|A|1.02.01.08|5|01
1.02.01.08.03|PIS  a Recuperar - Crédito Básico - Longo Prazo|01012021|31129999|261|A|1.02.01.08|5|01
1.02.01.08.04|PIS  a Recuperar - Crédito Presumido - Longo Prazo|01012021|31129999|262|A|1.02.01.08|5|01
1.02.01.08.05|COFINS  a Recuperar - Crédito Básico - Longo Prazo|01012021|31129999|263|A|1.02.01.08|5|01
1.02.01.08.06|COFINS  a Recuperar - Crédito Presumido - Longo Prazo|01012021|31129999|264|A|1.02.01.08|5|01
1.02.01.08.07|CIDE a Recuperar - Longo Prazo|01012021|31129999|265|A|1.02.01.08|5|01
1.02.01.08.40|Outros Impostos e Contribuições a Recuperar - Longo Prazo|01012021|31129999|266|A|1.02.01.08|5|01
1.02.01.08.50|(-) Juros a Apropriar Decorrentes de Ajuste a Valor Presente (AVP) -  Tributos a Recuperar - Longo Prazo|01012021|31129999|267|A|1.02.01.08|5|01
1.02.01.08.55|(-) Perdas  por Redução ao Valor Recuperável (Impairment) -  Tributos a Recuperar - Longo Prazo|01012021|31129999|268|A|1.02.01.08|5|01
1.02.01.09|DESPESAS PAGAS ANTECIPADAMENTE - LONGO PRAZO|01012021|31129999|269|S|1.02.01|4|01
1.02.01.09.01|Alugueis pagos Antecipadamente - Longo Prazo|01012021|31129999|270|A|1.02.01.09|5|01
1.02.01.09.02|Prêmios de Seguros a Apropriar - Longo Prazo|01012021|31129999|271|A|1.02.01.09|5|01
1.02.01.09.03|Encargos Financeiros a Apropriar -Longo Prazo|01012021|31129999|272|A|1.02.01.09|5|01
1.02.01.09.09|Outros Custos e Despesas Pagos Antecipadamente - Longo Prazo|01012021|31129999|273|A|1.02.01.09|5|01
1.02.01.10|ATIVO BIOLÓGICO - LONGO PRAZO|01012021|31129999|274|S|1.02.01|4|01
1.02.01.10.01|Ativo Biológico Consumível - Origem Animal - Pelo Valor Justo - Longo Prazo|01012021|31129999|275|A|1.02.01.10|5|01
1.02.01.10.02|Ativo Biológico Consumível - Origem Vegetal - Pelo Valor Justo - Longo Prazo|01012021|31129999|276|A|1.02.01.10|5|01
1.02.01.10.10|Ativo Biológico Consumível - Origem Animal - Pelo Custo - Longo Prazo|01012021|31129999|277|A|1.02.01.10|5|01
1.02.01.10.11|Ativo Biológico Consumível - Origem Vegetal - Pelo Custo - Longo Prazo|01012021|31129999|278|A|1.02.01.10|5|01
1.02.01.10.55|( - ) Perdas  por Redução ao Valor Recuperável (Impairment) -  Ativos Biológicos Consumível - Longo Prazo|01012021|31129999|279|A|1.02.01.10|5|01
1.02.01.10.70|Subconta - Ajuste a Valor Justo (AVJ)  -  Ativos Biológicos - Longo Prazo|01012021|31129999|280|A|1.02.01.10|5|01
1.02.01.10.75|Subconta - Ajuste a Valor Presente (AVP) -  Ativos Biológicos  - Longo Prazo|01012021|31129999|281|A|1.02.01.10|5|01
1.02.01.10.90|Subconta - Adoção Inicial - Ativo Biológico - Longo Prazo|01012021|31129999|282|A|1.02.01.10|5|01
1.02.01.15|OUTROS CRÉDITOS - LONGO PRAZO|01012021|31129999|283|S|1.02.01|4|01
1.02.01.15.01|Outros Créditos - Longo Prazo|01012021|31129999|284|A|1.02.01.15|5|01
1.02.01.15.60|CPC 47 - Ativos de Contrato - Longo Prazo|01012021|31129999|285|A|1.02.01.15|5|01
1.02.02|INVESTIMENTOS|01012021|31129999|286|S|1.02|3|01
1.02.02.01|PARTICIPAÇÕES PERMANENTES EM SOCIEDADES - NO PAÍS|01012021|31129999|287|S|1.02.02|4|01
1.02.02.01.01|Participações Permanentes em Controladas - no País|01012021|31129999|288|A|1.02.02.01|5|01
1.02.02.01.04|Participações Permanentes em Coligadas -  no País|01012021|31129999|289|A|1.02.02.01|5|01
1.02.02.01.05|Participações Permanentes em Joint Ventures e Sociedades de Propósito Específico (SPE) - no País|01012021|31129999|290|A|1.02.02.01|5|01
1.02.02.01.06|Participações Permanentes em Outras Sociedades do Mesmo Grupo ou Controle Comum - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no País|01012021|31129999|291|A|1.02.02.01|5|01
1.02.02.01.07|Participações em Sociedades em Conta de Participação (SCP) - Sócio Ostensivo - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no País|01012021|31129999|292|A|1.02.02.01|5|01
1.02.02.01.08|Participações em Sociedades em Conta de Participação (SCP) - Sócio Participante -  no País|01012021|31129999|293|A|1.02.02.01|5|01
1.02.02.01.10|Goodwill em Investimentos - no País|01012021|31129999|294|A|1.02.02.01|5|01
1.02.02.01.11|Mais Valia em Investimentos - no País|01012021|31129999|295|A|1.02.02.01|5|01
1.02.02.01.12|(-) Menos Valia em Investimentos  - no País|01012021|31129999|296|A|1.02.02.01|5|01
1.02.02.01.20|Ágios em Investimentos Gerados até 31/12/2009 - no País|01012021|31129999|297|A|1.02.02.01|5|01
1.02.02.01.21|(-) Deságios em Investimentos Gerados até 31/12/2009  - no País|01012021|31129999|298|A|1.02.02.01|5|01
1.02.02.01.40|(-) Lucros a Apropriar em Vendas com Controladas -no País|01012021|31129999|299|A|1.02.02.01|5|01
1.02.02.01.41|(-) Lucros a Apropriar em Vendas com Coligadas -no País|01012021|31129999|300|A|1.02.02.01|5|01
1.02.02.01.42|(-) Lucros a Apropriar em Vendas com Joint Ventures -no País|01012021|31129999|301|A|1.02.02.01|5|01
1.02.02.01.43|(-) Lucros a Apropriar em Vendas com outras sociedades - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no País|01012021|31129999|302|A|1.02.02.01|5|01
1.02.02.01.55|(-) Perdas Estimadas por Redução ao Valor Recuperável (Impairment) de Participações Permanentes Avaliadas pelo Método de Equivalência Patrimonial - no País|01012021|31129999|303|A|1.02.02.01|5|01
1.02.02.01.56|(-) Perdas Estimadas por Redução ao Valor Recuperável (Impairment) do Goodwill em Investimentos - no País|01012021|31129999|304|A|1.02.02.01|5|01
1.02.02.01.60|Subconta - Ajuste a Valor Justo (AVJ) Reflexo - Ganho ou Perda na Investida|01012021|31129999|305|A|1.02.02.01|5|01
1.02.02.01.65|Subconta - Ajuste a Valor Justo (AVJ) de Subscrição de Capital - Ganho ou Perda de Capital|01012021|31129999|306|A|1.02.02.01|5|01
1.02.02.01.75|(-) Subconta - Ajuste a Valor Presente (AVP) de Participação Societária|01012021|31129999|307|A|1.02.02.01|5|01
1.02.02.01.80|Subconta - Mais Valia da Participação Anterior - Estágios|01012021|31129999|308|A|1.02.02.01|5|01
1.02.02.01.81|(-) Subconta - Menos Valia da Participação Anterior - Estágios|01012021|31129999|309|A|1.02.02.01|5|01
1.02.02.01.82|Subconta - Goodwill da Participação Anterior - Estágios|01012021|31129999|310|A|1.02.02.01|5|01
1.02.02.01.84|Subconta - Variação de Mais Valia da Participação Anterior - Estágios|01012021|31129999|311|A|1.02.02.01|5|01
1.02.02.01.85|(-) Subconta - Variação de Menos Valia da Participação Anterior - Estágios|01012021|31129999|312|A|1.02.02.01|5|01
1.02.02.01.86|Subconta - Variação de Goodwill da Participação Anterior - Estágios|01012021|31129999|313|A|1.02.02.01|5|01
1.02.02.02|PARTICIPAÇÕES PERMANENTES EM SOCIEDADES - NO EXTERIOR|01012021|31129999|314|S|1.02.02|4|01
1.02.02.02.01|Participações Permanentes em Controladas -  no Exterior|01012021|31129999|315|A|1.02.02.02|5|01
1.02.02.02.02|Subconta - Tributação em Base Universais (TBU) - Controladas Diretas - No Exterior|01012021|31129999|316|A|1.02.02.02|5|01
1.02.02.02.03|Subconta - Tributação em Base Universais (TBU) - Controladas Indiretas - no Exterior|01012021|31129999|317|A|1.02.02.02|5|01
1.02.02.02.04|Participações Permanentes em Coligadas - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no Exterior|01012021|31129999|318|A|1.02.02.02|5|01
1.02.02.02.05|Participações Permanentes em Joint Ventures - Avaliadas pelo Método de Equivalência Patrimonial (MEP) - no Exterior|01012021|31129999|319|A|1.02.02.02|5|01
